Query_ID	Doc_ID	Rank	Score
1	56	1	3.0
1	174	2	3.0
1	809	3	3.0
1	204	4	3.0
1	792	5	2.5
1	57	6	2.5
1	248	7	2.5
1	340	8	2.5
1	808	9	2.5
1	766	10	2.5
1	991	11	2.5
1	992	12	2.0
1	1163	13	2.0
1	435	14	2.0
1	300	15	2.0
1	430	16	2.0
1	470	17	2.0
1	695	18	2.0
1	815	19	2.0
1	92	20	2.0
1	1246	21	2.0
1	692	22	2.0
1	82	23	2.0
1	211	24	2.0
1	858	25	2.0
1	857	26	2.0
1	693	27	2.0
1	816	28	2.0
1	1352	29	2.0
1	1167	30	2.0
1	441	31	1.5
1	985	32	1.5
1	1096	33	1.5
1	911	34	1.5
1	1012	35	1.5
1	124	36	1.5
1	934	37	1.5
1	277	38	1.5
1	1143	39	1.5
1	801	40	1.5
1	1073	41	1.5
1	482	42	1.5
1	874	43	1.5
1	634	44	1.5
1	1349	45	1.5
1	1268	46	1.5
1	197	47	1.5
1	945	48	1.5
1	849	49	1.5
1	13	50	1.5
1	12	51	1.5
1	999	52	1.5
1	686	53	1.5
1	747	54	1.5
1	560	55	1.5
1	1374	56	1.5
1	1095	57	1.5
1	1065	58	1.5
1	1292	59	1.5
1	1328	60	1.5
1	567	61	1.5
1	1159	62	1.5
1	1094	63	1.5
1	713	64	1.5
1	796	65	1.5
1	685	66	1.5
1	1387	67	1.5
1	711	68	1.5
1	798	69	1.5
1	980	70	1.5
1	1162	71	1.5
1	946	72	1.5
1	440	73	1.5
1	1124	74	1.5
1	316	75	1.5
1	1338	76	1.5
1	927	77	1.5
1	260	78	1.5
1	429	79	1.5
1	51	80	1.5
1	689	81	1.5
1	1165	82	1.5
1	203	83	1.5
1	384	84	1.5
1	252	85	1.5
1	546	86	1.5
1	746	87	1.5
1	1337	88	1.5
1	859	89	1.5
1	433	90	1.5
1	781	91	1.5
1	442	92	1.5
1	309	93	1.5
1	8	94	1.0
1	233	95	1.0
1	893	96	1.0
1	712	97	1.0
1	298	98	1.0
1	434	99	1.0
1	269	100	1.0
1	705	101	1.0
1	1392	102	1.0
1	614	103	1.0
1	187	104	1.0
1	994	105	1.0
1	806	106	1.0
1	28	107	1.0
1	1089	108	1.0
1	880	109	1.0
1	909	110	1.0
1	979	111	1.0
1	1082	112	1.0
1	984	113	1.0
1	1050	114	1.0
1	1340	115	1.0
1	1087	116	1.0
1	503	117	1.0
1	122	118	1.0
1	240	119	1.0
1	529	120	1.0
1	690	121	1.0
1	1164	122	1.0
1	827	123	1.0
1	553	124	1.0
1	888	125	1.0
1	860	126	1.0
1	618	127	1.0
1	700	128	1.0
1	498	129	1.0
1	930	130	1.0
1	710	131	1.0
1	891	132	1.0
1	80	133	1.0
1	1314	134	1.0
1	1135	135	1.0
1	264	136	1.0
1	823	137	1.0
1	717	138	1.0
1	848	139	1.0
1	1382	140	1.0
1	922	141	1.0
1	875	142	1.0
1	802	143	1.0
1	947	144	1.0
1	363	145	1.0
1	1226	146	1.0
1	1033	147	1.0
1	120	148	1.0
1	1393	149	1.0
1	548	150	1.0
1	877	151	1.0
1	1041	152	1.0
1	48	153	1.0
1	489	154	1.0
1	1120	155	1.0
1	698	156	1.0
1	755	157	1.0
1	1001	158	1.0
1	600	159	1.0
1	1362	160	1.0
1	1155	161	1.0
1	1218	162	1.0
1	986	163	1.0
1	1153	164	1.0
1	302	165	1.0
1	1320	166	1.0
1	492	167	1.0
1	184	168	1.0
1	311	169	1.0
1	709	170	1.0
1	59	171	1.0
1	454	172	1.0
1	372	173	1.0
1	479	174	1.0
1	865	175	1.0
1	206	176	1.0
1	571	177	1.0
1	218	178	1.0
1	1156	179	1.0
1	987	180	1.0
1	751	181	1.0
1	619	182	1.0
1	111	183	1.0
1	215	184	1.0
1	65	185	1.0
1	810	186	1.0
1	466	187	1.0
1	314	188	1.0
1	421	189	1.0
1	691	190	1.0
1	96	191	1.0
1	876	192	1.0
1	1180	193	1.0
1	1360	194	1.0
1	811	195	1.0
1	799	196	1.0
1	532	197	1.0
1	73	198	1.0
1	688	199	1.0
1	613	200	1.0
2	174	1	5.5
2	56	2	4.5
2	204	3	4.5
2	798	4	4.0
2	858	5	4.0
2	809	6	4.0
2	1163	7	3.5
2	1082	8	3.5
2	715	9	3.5
2	482	10	3.5
2	248	11	3.5
2	430	12	3.5
2	470	13	3.5
2	1094	14	3.5
2	688	15	3.5
2	1000	16	3.5
