Query_ID	Doc_ID	Rank	Score
1	792	1	24.5
1	798	2	24.0
1	1313	3	23.0
1	131	4	23.0
1	1147	5	22.5
1	1144	6	20.0
1	640	7	19.5
1	717	8	18.5
1	262	9	18.5
1	244	10	18.0
1	826	11	17.5
1	695	12	17.5
1	927	13	17.5
1	14	14	17.5
1	576	15	17.0
1	1201	16	17.0
1	1047	17	17.0
1	928	18	16.5
1	1268	19	16.5
1	499	20	16.5
1	89	21	16.5
1	82	22	16.0
1	51	23	16.0
1	193	24	16.0
1	721	25	16.0
1	83	26	16.0
1	588	27	15.5
1	874	28	15.5
1	673	29	15.5
1	658	30	15.5
1	373	31	15.5
1	1239	32	15.5
1	433	33	15.5
1	1392	34	15.0
1	1277	35	15.0
1	73	36	15.0
1	730	37	15.0
1	992	38	14.5
1	710	39	14.5
1	56	40	14.5
1	96	41	14.5
1	140	42	14.5
1	962	43	14.0
1	1040	44	14.0
1	946	45	14.0
1	151	46	14.0
1	662	47	14.0
1	156	48	14.0
1	1167	49	14.0
1	277	50	13.5
1	947	51	13.5
1	300	52	13.5
1	1244	53	13.5
1	1292	54	13.5
1	704	55	13.5
1	417	56	13.5
1	991	57	13.5
1	204	58	13.5
1	1226	59	13.0
1	344	60	13.0
1	1218	61	13.0
1	12	62	13.0
1	811	63	13.0
1	189	64	13.0
1	99	65	13.0
1	1335	66	13.0
1	329	67	13.0
1	442	68	13.0
1	712	69	12.5
1	124	70	12.5
1	49	71	12.5
1	197	72	12.5
1	315	73	12.5
1	1104	74	12.5
1	808	75	12.5
1	414	76	12.5
1	9	77	12.5
1	675	78	12.5
1	210	79	12.5
1	1119	80	12.5
1	1352	81	12.5
1	100	82	12.5
1	85	83	12.0
1	934	84	12.0
1	170	85	12.0
1	33	86	12.0
1	92	87	12.0
1	423	88	12.0
1	225	89	12.0
1	1322	90	12.0
1	889	91	12.0
1	1342	92	12.0
1	917	93	12.0
1	114	94	12.0
1	1039	95	12.0
1	1300	96	11.5
1	806	97	11.5
1	801	98	11.5
1	828	99	11.5
1	172	100	11.5
1	686	101	11.5
1	747	102	11.5
1	987	103	11.5
1	1072	104	11.5
1	1325	105	11.5
1	1246	106	11.5
1	1375	107	11.5
1	232	108	11.5
1	234	109	11.5
1	1338	110	11.5
1	211	111	11.5
1	213	112	11.5
1	252	113	11.5
1	29	114	11.5
1	198	115	11.5
1	434	116	11.0
1	187	117	11.0
1	435	118	11.0
1	94	119	11.0
1	1082	120	11.0
1	216	121	11.0
1	529	122	11.0
1	625	123	11.0
1	827	124	11.0
1	57	125	11.0
1	206	126	11.0
1	815	127	11.0
1	466	128	11.0
1	572	129	11.0
1	1108	130	11.0
1	1387	131	11.0
1	364	132	11.0
1	976	133	11.0
1	1381	134	11.0
1	132	135	11.0
1	274	136	11.0
1	416	137	11.0
1	202	138	11.0
1	766	139	11.0
1	1061	140	11.0
1	1383	141	11.0
1	1351	142	11.0
1	1321	143	11.0
1	174	144	11.0
1	1307	145	11.0
1	1115	146	11.0
1	486	147	11.0
1	1341	148	11.0
1	441	149	10.5
1	786	150	10.5
1	80	151	10.5
1	25	152	10.5
1	325	153	10.5
1	342	154	10.5
1	184	155	10.5
1	1035	156	10.5
1	685	157	10.5
1	272	158	10.5
1	980	159	10.5
1	656	160	10.5
1	77	161	10.5
1	773	162	10.5
1	523	163	10.5
1	332	164	10.5
1	266	165	10.5
1	822	166	10.5
1	155	167	10.5
1	593	168	10.5
1	1337	169	10.5
1	1252	170	10.5
1	163	171	10.5
1	540	172	10.5
1	1347	173	10.0
1	1154	174	10.0
1	453	175	10.0
1	739	176	10.0
1	427	177	10.0
1	1356	178	10.0
1	1382	179	10.0
1	599	180	10.0
1	698	181	10.0
1	13	182	10.0
1	42	183	10.0
1	1333	184	10.0
1	110	185	10.0
1	253	186	10.0
1	212	187	10.0
1	247	188	10.0
1	32	189	10.0
1	767	190	10.0
1	638	191	10.0
1	1225	192	10.0
1	1165	193	10.0
1	858	194	10.0
1	857	195	10.0
1	1303	196	10.0
1	129	197	10.0
1	797	198	10.0
1	452	199	10.0
1	8	200	9.5
2	1201	1	85.5
2	798	2	81.0
2	1313	3	70.0
2	329	4	61.5
2	792	5	54.5
2	927	6	54.5
2	417	7	50.5
2	89	8	50.5
2	673	9	49.5
2	499	10	49.5
2	1040	11	47.5
2	452	12	47.5
2	721	13	46.5
2	94	14	46.0
2	73	15	46.0
2	131	16	45.0
2	1147	17	45.0
2	1239	18	44.5
2	433	19	43.5
2	1144	20	43.5
2	1244	21	42.0
2	160	22	42.0
2	1047	23	41.5
2	244	24	41.0
2	992	25	40.5
2	928	26	40.5
2	364	27	40.5
2	522	28	40.0
2	757	29	40.0
2	826	30	39.5
2	140	31	39.5
2	1392	32	39.0
2	695	33	38.5
2	874	34	38.0
2	262	35	38.0
2	576	36	38.0
2	199	37	38.0
2	85	38	37.5
2	315	39	37.5
2	423	40	37.0
2	234	41	37.0
2	14	42	36.5
2	827	43	36.0
2	49	44	36.0
2	1382	45	36.0
2	33	46	36.0
2	1072	47	36.0
2	225	48	36.0
2	132	49	36.0
2	662	50	36.0
2	1226	51	35.5
2	206	52	35.5
2	82	53	35.5
2	1082	54	35.0
2	189	55	35.0
2	99	56	35.0
2	731	57	35.0
2	797	58	35.0
2	1164	59	34.5
2	277	60	34.5
2	170	61	34.5
2	466	62	34.5
2	96	63	34.5
2	272	64	34.5
2	373	65	34.5
2	1061	66	34.5
2	675	67	34.5
2	1198	68	34.5
2	210	69	34.5
2	1268	70	34.0
2	962	71	34.0
2	976	72	34.0
2	151	73	34.0
2	193	74	34.0
2	83	75	34.0
2	599	76	33.5
2	1248	77	33.5
2	173	78	33.5
2	712	79	33.0
2	344	80	33.0
2	1209	81	33.0
2	1343	82	33.0
2	572	83	33.0
2	625	84	32.5
2	548	85	32.5
2	218	86	32.5
2	1375	87	32.5
2	946	88	32.5
2	51	89	32.5
2	155	90	32.5
2	640	91	32.5
2	434	92	32.0
2	165	93	32.0
2	947	94	32.0
2	811	95	32.0
2	416	96	32.0
2	730	97	32.0
2	198	98	32.0
2	1277	99	31.5
2	1342	100	31.5
2	1066	101	31.5
2	157	102	31.0
2	588	103	31.0
2	62	104	31.0
2	658	105	31.0
2	163	106	31.0
2	739	107	30.5
